,gender,NationalITy,PlaceofBirth,StageID,SectionID,Topic,Semester,Relation,raisedhands,VisITedResources,AnnouncementsView,Discussion,ParentAnsweringSurvey,ParentschoolSatisfaction,StudentAbsenceDays,Class,GradeID
383,2,5,5,3,1,12,2,2,72,90,12,30,1,1,2,3,6
384,2,12,12,3,3,12,2,2,27,41,49,14,1,1,2,3,6
385,2,4,4,3,1,2,1,1,80,80,46,61,2,1,2,3,5
386,2,5,5,2,1,8,1,1,17,13,16,12,2,1,2,3,8
387,2,5,5,1,2,8,1,1,50,90,40,90,2,1,2,3,1
388,2,5,5,3,2,8,1,1,19,19,25,40,2,1,2,3,5
389,1,4,4,1,2,11,1,1,15,50,24,43,2,1,2,3,2
390,1,5,5,3,2,1,2,1,22,51,42,40,2,1,2,3,6
391,2,4,4,3,1,2,2,1,85,82,59,63,2,1,2,3,5
392,1,5,5,3,1,8,2,1,50,40,52,66,2,1,2,3,4
393,2,12,10,3,1,10,2,1,70,75,55,11,2,1,2,3,5
394,1,4,4,1,2,11,2,1,32,44,29,89,2,1,2,3,2
395,2,5,5,3,2,12,2,1,62,61,82,40,2,1,2,3,6
396,1,13,13,1,2,5,2,2,15,52,83,11,2,1,2,3,1
397,1,3,3,1,2,5,1,1,16,90,15,11,1,2,2,3,1
398,1,9,4,1,2,5,1,1,78,98,10,11,1,2,2,3,1
399,2,5,5,3,1,8,1,1,19,20,16,50,1,2,2,3,5
400,2,5,5,1,3,8,1,1,77,80,51,80,1,2,2,3,1
401,1,13,13,3,1,9,1,1,27,22,22,40,1,2,2,3,5
402,1,3,3,1,2,5,2,1,17,80,13,10,1,2,2,3,1
403,1,9,4,1,2,5,2,1,79,89,11,14,1,2,2,3,1
404,1,5,5,1,1,7,2,1,70,99,66,65,1,2,2,3,2
405,2,12,12,2,2,11,2,1,70,50,33,40,1,2,2,3,9
406,2,6,6,3,3,12,2,1,80,51,40,24,1,2,2,3,6
407,2,9,4,3,1,4,1,2,82,31,52,25,1,2,2,3,4
408,1,4,4,1,1,5,1,2,10,90,30,21,1,2,2,3,1
409,1,9,4,1,1,5,1,2,70,90,20,21,1,2,2,3,1
410,1,4,4,3,1,4,2,2,92,81,32,36,1,2,2,3,4
411,2,9,4,3,1,4,2,2,72,41,46,27,1,2,2,3,4
412,1,4,4,1,1,5,2,2,25,80,29,23,1,2,2,3,1
413,1,9,4,1,1,5,2,2,75,80,15,20,1,2,2,3,1
414,2,5,5,1,2,5,2,2,60,52,23,33,1,2,2,3,1
415,2,9,4,3,2,2,1,1,78,80,66,51,2,2,2,3,5
416,1,5,5,2,1,4,1,1,29,39,50,77,2,2,2,3,10
417,2,4,4,1,2,5,1,1,32,88,32,25,2,2,2,3,1
418,2,9,9,3,1,6,1,1,80,87,74,68,2,2,2,3,6
419,1,4,4,3,1,7,1,1,45,87,57,80,2,2,2,3,6
420,2,9,4,3,1,7,1,1,81,86,86,41,2,2,2,3,6
421,2,5,5,1,1,8,1,1,15,16,2,20,2,2,2,3,2
422,2,5,5,1,1,8,1,1,20,20,3,25,2,2,2,3,2
423,1,5,5,3,1,8,1,1,30,40,22,66,2,2,2,3,4
424,1,1,1,3,1,8,1,1,45,54,26,90,2,2,2,3,5
425,2,5,5,3,1,8,1,1,29,22,9,20,2,2,2,3,5
426,1,5,5,2,1,8,1,1,30,35,28,90,2,2,2,3,7
427,2,5,5,2,1,8,1,1,20,80,33,33,2,2,2,3,7
428,2,5,5,2,1,8,1,1,50,70,32,40,2,2,2,3,8
429,1,5,5,1,2,8,1,1,12,26,7,40,2,2,2,3,1
430,1,6,6,1,2,8,1,1,70,98,7,5,2,2,2,3,1
431,1,5,5,3,2,8,1,1,70,80,25,70,2,2,2,3,5
432,1,2,2,1,3,8,1,1,2,9,7,55,2,2,2,3,1
433,2,4,4,1,3,8,1,1,80,42,20,50,2,2,2,3,1
434,1,5,5,3,1,9,1,1,12,21,16,50,2,2,2,3,5
435,2,5,5,3,1,9,1,1,50,10,15,22,2,2,2,3,5
436,2,5,5,3,1,9,1,1,28,60,19,50,2,2,2,3,5
437,2,5,5,3,2,9,1,1,19,6,19,12,2,2,2,3,5
438,2,5,5,3,1,11,1,1,75,85,52,43,2,2,2,3,6
439,1,10,10,3,2,11,1,1,50,90,37,70,2,2,2,3,5
440,1,5,5,3,1,1,2,1,80,71,52,51,2,2,2,3,6
441,2,5,5,3,1,1,2,1,15,43,42,33,2,2,2,3,6
442,2,5,5,3,2,1,2,1,25,5,12,33,2,2,2,3,6
443,2,5,5,3,2,1,2,1,67,31,42,14,2,2,2,3,6
444,2,9,4,3,2,2,2,1,79,72,79,83,2,2,2,3,5
445,2,4,4,1,2,5,2,1,25,87,21,27,2,2,2,3,1
446,1,12,13,2,2,5,2,1,70,50,30,49,2,2,2,3,9
447,2,9,9,3,1,6,2,1,85,88,79,70,2,2,2,3,6
448,1,5,5,1,1,7,2,1,80,97,86,95,2,2,2,3,2
449,1,4,4,3,1,7,2,1,39,88,43,72,2,2,2,3,6
450,2,9,4,3,1,7,2,1,78,82,78,53,2,2,2,3,6
451,2,12,12,3,1,10,2,1,10,75,55,11,2,2,2,3,5
452,2,10,13,2,1,11,2,1,23,63,71,89,2,2,2,3,9
453,2,1,1,3,2,11,2,1,72,80,58,86,2,2,2,3,5
454,1,5,5,3,2,11,2,1,62,68,48,80,2,2,2,3,5
455,1,4,5,3,3,12,2,1,87,88,40,10,2,2,2,3,6
456,2,5,5,3,3,12,2,1,17,21,42,14,2,2,2,3,6
457,2,6,6,3,3,12,2,1,77,69,41,13,2,2,2,3,6
458,2,4,4,1,2,1,1,2,15,90,21,97,2,2,2,3,1
459,2,4,4,3,1,3,1,2,80,82,76,19,2,2,2,3,6
460,2,9,4,3,1,4,1,2,71,70,65,69,2,2,2,3,4
461,1,4,9,1,1,5,1,2,80,77,63,83,2,2,2,3,1
462,1,4,4,1,2,5,1,2,10,94,40,11,2,2,2,3,1
463,2,4,4,3,1,6,1,2,80,81,71,30,2,2,2,3,6
464,2,4,4,3,1,6,1,2,89,87,86,15,2,2,2,3,6
465,2,4,4,3,1,6,1,2,77,82,74,79,2,2,2,3,6
466,1,5,5,3,1,8,1,2,69,15,36,96,2,2,2,3,5
467,2,2,2,2,1,8,1,2,15,70,37,44,2,2,2,3,7
468,2,5,5,1,3,8,1,2,21,12,0,50,2,2,2,3,1
469,2,4,4,3,1,10,1,2,50,90,29,60,2,2,2,3,5
470,2,5,5,3,1,1,2,2,85,15,22,53,2,2,2,3,6
471,2,5,5,3,1,1,2,2,95,91,62,53,2,2,2,3,6
472,2,4,4,1,2,1,2,2,20,77,31,88,2,2,2,3,1
473,2,4,4,3,1,3,2,2,70,82,75,29,2,2,2,3,6
474,2,9,4,3,1,4,2,2,75,71,76,80,2,2,2,3,4
475,1,4,9,1,1,5,2,2,75,85,73,80,2,2,2,3,1
476,1,4,4,1,2,5,2,2,25,89,21,13,2,2,2,3,1
477,2,4,4,3,1,6,2,2,70,83,70,23,2,2,2,3,6
478,2,4,4,3,1,6,2,2,90,86,85,10,2,2,2,3,6
479,2,4,4,3,1,6,2,2,71,84,67,80,2,2,2,3,6
480,2,5,5,3,3,12,2,2,57,51,46,34,2,2,2,3,6
